header,class,mechanism,group,database
gi|55824372|gb|AY790341.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
gi|233319|gb|S46063.1|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB,megares
Tet|AB089595.1|gene1|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETB,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETB,megares
1591|HE616889.1|HE616889|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|SHV-12_2_AY273807|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
gi|591389169|gb|KJ135345.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|NC_002745.1122814|betalactams|Penicillin_binding_protein_regulator|MECI,betalactams,Penicillin binding protein regulator,MECI,megares
Bla|OXY2-7|Z49084|312-1184|873|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY,megares
Bla|OKP-B-14_1_DQ995288|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP,megares
MLS|LmrB|X79146|27840-28679|840|MLS|Lincosamide_efflux_pump|LMRB,MLS,Lincosamide efflux pump,LMRB,megares
Rif|ARR-6_1_FM955585|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,Rifampin,Rifampin ADP-ribosyltransferase Arr,ARR,megares
1660|JN596280.1|JN596280|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES,megares
gi|620597417|gb|KJ461948.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Phe|Cat-pC223|AY355285|1000-1647|648|Phenicol|Chloramphenicol_acetyltransferases|CATA,Phenicol,Chloramphenicol acetyltransferases,CATA,megares
Gly|VanA-Ao2|HQ679900|1034-2080|1047|Glycopeptides|VanA-type_resistance_protein|VANA,Glycopeptides,VanA-type resistance protein,VANA,megares
MLS|LnuA|M14039|413-898|486|MLS|Lincosamide_nucleotidyltransferases|LNUA,MLS,Lincosamide nucleotidyltransferases,LNUA,megares
Bla|OXA-73|AY762325|116-937|822|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
CARD|phgb|AF024666|2207-2969|ARO:3000596|ErmX|MLS|23S_rRNA_methyltransferases|ERMX,MLS,23S rRNA methyltransferases,ERMX,megares
gi|725539566|gb|KM433672.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
1429|AY082011.1|AY082011|Glycopeptides|VanD-type_resistance_protein|VANXD,Glycopeptides,VanD-type resistance protein,VANXD,megares
Sul|NC_003197.1.1254818|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP,megares
Bla|Y17581.1|gene1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Tet|tetL_1_HM235948|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETL,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETL,megares
Flq|NC_002695.1.916822|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,megares
Bla|OKP-B-2|AM051151|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP,megares
Bla|CMY-72|JX440352|1028-2173|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
Tet|TetW|AJ222769|3687-5606|1920|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW,megares
CARD|phgb|EU408350|11679-12585|ARO:3002488|LRA-9|betalactams|Class_B_betalactamases|LRA,betalactams,Class B betalactamases,LRA,megares
Flq|NC_002758.1121330|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC,megares
CARD|phgb|X95401|208-1069|ARO:3000914|TEM-45|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Sul|sul2_19_AJ319822|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII,megares
Tet|tetH_4_U00792|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETH,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETH,megares
MLS|ermG_2_L42817|MLS|23S_rRNA_methyltransferases|ERMG,MLS,23S rRNA methyltransferases,ERMG,megares
CARD|phgb|AL009126|916777-919348|ARO:3000863|mprF|Multi-drug_resistance|MDR_mutant_porin_proteins|mprF|RequiresSNPConfirmation,Multi-drug resistance,MDR mutant porin proteins,mprF,megares
gi|16798375|gb|AF427130.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Sul|AM180355.1|gene1650|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP,megares
gi|698174207|gb|KM087858.1|betalactams|Class_C_betalactamases|MIR,betalactams,Class C betalactamases,MIR,megares
1886|AF322577.2|AF322577|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP,megares
gi|58200708|gb|AY874537.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
CARD|phgb|L25634|1273-2158|ARO:3003562|TLE|betalactams|Class_A_betalactamases|TLE,betalactams,Class A betalactamases,TLE,megares
Sul|sul2_17_U57647|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII,megares
CARD|phgb|DQ390458|3095-3995|ARO:3002609|aadA9|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,megares
AGly|AF263519.1|gene4|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
Bla|OXA-12|U10251|181-975|795|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
892|AJ746361.2|AJ746361|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII,megares
ACou|CP003583.1|gene1173|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE,megares
Bla|OKP-B-17|AM850919|25-885|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP,megares
AGly|aadA1_5_JQ480156|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,megares
CARD|pvgb|AB003428.1|151-2416|ARO:3003702|Pseudomonas|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC,megares
Gly|VanT|AF162694|3008-5104|2097|Glycopeptides|VanC-type_resistance_protein|VANTC,Glycopeptides,VanC-type resistance protein,VANTC,megares
Bla|CMY-80|JQ733577|1027-2172|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
Bla|AF336098.1|gene1|betalactams|Mutant_porin_proteins|OMP36|RequiresSNPConfirmation,betalactams,Mutant porin proteins,OMP36,megares
CARD|phgb|AB894482|35038-35500|ARO:3003199|AAC6-PRIME-Iak|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
CARD|phgb|JX514368|271-1417|ARO:3002107|CMY-94|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
Rif|AE016830.1|gene3155|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB,megares
740|JX560992.1|JX560992|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT9,megares
gi|6273433|emb|Y14574.2|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Sul|sul2_8_AJ877041|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII,megares
Bla|B-9|AY348324|1-747|747|betalactams|Class_B_betalactamases|BLAB,betalactams,Class B betalactamases,BLAB,megares
721|AB014481.1|AB014481|MLS|23S_rRNA_methyltransferases|ERMB,MLS,23S rRNA methyltransferases,ERMB,megares
Flq|QnrB57_1_JX259318|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB,megares
gi|11095253|gb|AF275256.1|betalactams|Class_A_betalactamases|SME,betalactams,Class A betalactamases,SME,megares
MLS|Erm30|AF079138|1283-2293|1011|MLS|23S_rRNA_methyltransferases|ERM30,MLS,23S rRNA methyltransferases,ERM30,megares
Gly|VanY-Pt|AY926880.2|5831-6721|891|Glycopeptides|VanA-type_accessory_protein|VANYA,Glycopeptides,VanA-type accessory protein,VANYA,megares
Bla|OXA-21_2_DQ993182|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|MECA|AB221124|91-2097|2007|betalactams|Penicillin_binding_protein|MECA,betalactams,Penicillin binding protein,MECA,megares
Sul|sul1_27_GU562437|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI,megares
Phe|NC_010588.1.6276004|Phenicol|Chloramphenicol_acetyltransferases|CATA,Phenicol,Chloramphenicol acetyltransferases,CATA,megares
1737|AY033516.1|AY033516|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
gi|88697140|gb|DQ392963.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Sul|AL009126.3|gene92|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP,megares
AGly|strA_3_AF024602|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME,megares
CARD|phgb|EF468463|66-927|ARO:3001028|TEM-162|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
CARD|phgb|DQ212986|4222-5062|ARO:3002959|vanYG1|Glycopeptides|VanG-type_accessory_protein|VANYG,Glycopeptides,VanG-type accessory protein,VANYG,megares
Bla|AJ550807.1|gene4|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP,megares
gi|675599421|gb|KJ934266.1|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB,megares
CARD|phgb|AP009048|3980025-3981183|ARO:3000795|mdtE|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTE,Multi-drug resistance,Multi-drug efflux pumps,MDTE,megares
Bla|SHV-71_1_EF373974|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
1268|AB976602.1|AB976602|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
gi|723266034|gb|KM379100.1|betalactams|Class_A_betalactamases|KPC,betalactams,Class A betalactamases,KPC,megares
gi|56554762|gb|AY847143.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
CARD|pvgb|AL450380|296695-297550|ARO:3003389|Mycobacterium|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP,megares
Bla|OXY1-7|M27459|86-961|876|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY,megares
Tet|tetA_P_1_AB054980|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETA,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETA,megares
gi|13173097|gb|AF324834.1|betalactams|Class_A_betalactamases|VEB,betalactams,Class A betalactamases,VEB,megares
CARD|phgb|U00096|2154015-2155263|ARO:3000792|mdtA|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTA,Multi-drug resistance,Multi-drug efflux pumps,MDTA,megares
CARD|phgb|JF780936|63-1209|ARO:3002078|CMY-65|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
gi|223635894|emb|AM941846.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Bla|GES-11|JN253503|37-900|864|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES,megares
Bla|CTX-M-65|EF418608|10-885|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
CARD|phgb|KP347127|22412-24038|ARO:3003689|MCR-1|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,Lipopeptides,Colistin phosphoethanolamine transferase,MCR,megares
49|AJ514254.1|AJ514254|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET36,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET36,megares
CARD|phgb|AF174129|6335-7211|ARO:3001872|CTX-M-9|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
1570|LC031883.1|LC031883|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP,megares
gi|10180985|gb|AY007369.1|betalactams|Class_C_betalactamases|FOX,betalactams,Class C betalactamases,FOX,megares
AGly|Aac3-IId|EU022314|1-861|861|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,megares
267|Z12001.1|Z12001|Phenicol|Phenicol_efflux_pumps|CMRA,Phenicol,Phenicol efflux pumps,CMRA,megares
Bla|TEM-191|JF949916|1-757|757|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Bla|CARB-2_1_M69058|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB,megares
ACou|CP001138.1|gene3336|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE,megares
Rif|Arr2|JQ639792|1050-1502|453|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,Rifampin,Rifampin ADP-ribosyltransferase Arr,ARR,megares
Bla|TEM-97|AF397066|1-861|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
Bla|VIM-6|AY165025|1-801|801|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM,megares
1923|HQ185697.1|HQ185697|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
Gly|VanS-Pt2|DQ018710|3721-4881|1161|Glycopeptides|VanA-type_regulator|VANSA,Glycopeptides,VanA-type regulator,VANSA,megares
Sul|CP000768.1|gene1044|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP,megares
Gly|VanH-D_1_AB242319|Glycopeptides|VanD-type_resistance_protein|VANHD,Glycopeptides,VanD-type resistance protein,VANHD,megares
MLS|lsaA_3_AY737526|MLS|Streptogramin_resistance_ATP-binding_cassette_ABC_efflux_pumps|LSA,MLS,Streptogramin resistance ATP-binding cassette ABC efflux pumps,LSA,megares
Bla|TEM-190|JN416112|1-861|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
736|JX560992.1|JX560992|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
Phe|AF252855.1|gene1|Phenicol|Phenicol_efflux_pumps|FLOR,Phenicol,Phenicol efflux pumps,FLOR,megares
ACou|NC_007793.3913375|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE,megares
Rif|NC_002695.1.914942|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB,megares
Bla|OXA-69|AY750911|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
gi|256862195|gb|GQ390805.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
gi|698174213|gb|KM087861.1|betalactams|Class_C_betalactamases|MIR,betalactams,Class C betalactamases,MIR,megares
Bla|CTX-M-7|AJ005045|1-876|976|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
CARD|phgb|KP109678|5817-6675|ARO:3003714|PEDO-2|betalactams|Class_B_betalactamases|PEDO,betalactams,Class B betalactamases,PEDO,megares
Rif|NC_013450.8613267|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB,megares
Bla|cphA6|AY227052|1-765|765|betalactams|Class_B_betalactamases|CPHA,betalactams,Class B betalactamases,CPHA,megares
CARD|pvgb|AE000516|783533-783908|ARO:3003395|Mycobacterium|Aminoglycosides|Aminoglycoside-resistant_30S_ribosomal_subunit_protein_S12|RPSL|RequiresSNPConfirmation,Aminoglycosides,Aminoglycoside-resistant 30S ribosomal subunit protein S12,RPSL,megares
Gly|VanX-Ac1|DQ246438|2221-2835|615|Glycopeptides|VanA-type_resistance_protein|VANXA,Glycopeptides,VanA-type resistance protein,VANXA,megares
Elf|CP002695.1|gene3614|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,Elfamycins,EF-Tu inhibition,TUFAB,megares
Bla|CTX-M-34|AY51597|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Bla|CTX-M-19|AF325134|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Bla|TEM-198|AB700703|162-1022|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM,megares
gi|393716100|dbj|AB733453.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Bla|OXA-168|HM488989|1-822|822|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
Bla|CMY-14|EU600193|1702-2847|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY,megares
gi|375313996|gb|JN790864.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
Gly|VanH-D|AY082011|4937-5908|972|Glycopeptides|VanD-type_resistance_protein|VANHD,Glycopeptides,VanD-type resistance protein,VANHD,megares
Bla|LEN-8|AJ635424|1-789|789|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN,megares
Bla|SHV-167|AB733453|4-849|846|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV,megares
Flq|QnrB45|JQ349152|1-680|680|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB,megares
Bla|OXA-34|AF350424|1-771|771|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA,megares
1021|AJ243209.1|AJ243209|MLS|Macrolide_resistance_efflux_pumps|MSRC,MLS,Macrolide resistance efflux pumps,MSRC,megares
AGly|AF043381.1|gene2|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
Flq|QnrB61_1_AB734053|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB,megares
Flq|QepA|AB263754|7052-8587|1536|Fluoroquinolones|Quinolone_active_efflux|QEPA,Fluoroquinolones,Quinolone active efflux,QEPA,megares
1654|AY920928.1|AY920928|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,megares
Bla|FJ666066.1|gene1|betalactams|Class_C_betalactamases|PDC,betalactams,Class C betalactamases,PDC,megares
Flq|QnrB2|DQ351242|1-645|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB,megares
CARD|pvgb|CP003583|1050805-1052287|ARO:3003092|Enterococcus|Lipopeptides|Daptomycin-resistant_cls|CLS|RequiresSNPConfirmation,Lipopeptides,Daptomycin-resistant cls,CLS,megares
Bla|CTX-M-131|JN969893|1-873|873|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX,megares
